snapshot_time: 979.6092565 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -74799718.21, -909394518.4, 0, 14.3378744, -1.989149057, 0
1, 0.0009478064836, 1.899325698e+11, 7.876048034e+11, 0, -12491.36774, 2794.25166, 0
2, 0.0002837732003, -4.123605552e+11, 1.239195153e+12, 0, -9615.517793, -3087.946903, 0
3, 4.33474424e-05, 2.245455759e+12, 1.056736826e+11, 0, -365.0024203, 7683.516818, 0
4, 5.113210577e-05, -1.674812336e+12, -3.804642644e+12, 0, 5182.379594, -2321.100175, 0
snapshot_time: 1959.218513 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 1001326387, -279932594.5, 0, 3.812818177, 12.84812557, 0
1, 0.0009478064836, -7.190168376e+11, 3.761536701e+11, 0, -5729.190471, -11420.64715, 0
2, 0.0002837732003, -9.795468068e+11, -8.741308167e+11, 0, 6608.643917, -7572.008777, 0
3, 4.33474424e-05, 2.237069812e+12, 2.187969913e+11, 0, -748.9558025, 7656.012131, 0
4, 5.113210577e-05, -2.689344966e+12, 3.160658198e+12, 0, -4312.143859, -3709.218616, 0
snapshot_time: 2938.827769 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -146345350.9, 712863153.5, 0, -10.86943073, 4.463563344, 0
1, 0.0009478064836, -5.036616727e+11, -6.330798903e+11, 0, 10070.5632, -7948.540939, 0
2, 0.0002837732003, 1.131541211e+12, -6.560338383e+11, 0, 5072.346655, 8705.286465, 0
3, 4.33474424e-05, 2.224358548e+12, 3.247214553e+11, 0, -1110.318744, 7609.812645, 0
4, 5.113210577e-05, 4.028853487e+12, 1.177505721e+12, 0, -1587.934504, 5394.679598, 0
snapshot_time: 3918.437026 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -671575033.8, 405201531.8, 0, -6.630706522, -9.123341526, 0
1, 0.0009478064836, 5.360422316e+11, -5.967964398e+11, 0, 9714.591539, 8537.809026, 0
2, 0.0002837732003, 3.297990395e+11, 1.24641141e+12, 0, -9898.995937, 2572.621144, 0
3, 4.33474424e-05, 2.206808072e+12, 4.28467571e+11, 0, -1472.635758, 7549.439364, 0
4, 5.113210577e-05, -5.20757582e+11, -4.132194447e+12, 0, 5618.108473, -747.8107614, 0
snapshot_time: 4898.046282 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -221438272.9, -446956936.2, 0, 5.585645691, -8.094949082, 0
1, 0.0009478064836, 7.010009113e+11, 3.822270716e+11, 0, -6076.099359, 11492.38329, 0
2, 0.0002837732003, -1.268532915e+12, -1.916940046e+11, 0, 1473.133914, -10173.72416, 0
3, 4.33474424e-05, 2.182198918e+12, 5.377033232e+11, 0, -1845.189652, 7468.863734, 0
4, 5.113210577e-05, -3.478942838e+12, 2.252528108e+12, 0, -3076.816361, -4792.81198, 0
snapshot_time: 5877.655539 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -265778780.1, -561000572.7, 0, 9.630679183, 1.061555017, 0
1, 0.0009478064836, -2.028131602e+11, 7.763400277e+11, 0, -12534.35106, -3202.778743, 0
2, 0.0002837732003, 6.471355326e+11, -1.123843525e+12, 0, 8857.65314, 4982.968569, 0
3, 4.33474424e-05, 2.153560595e+12, 6.415487149e+11, 0, -2200.484498, 7372.449935, 0
4, 5.113210577e-05, 3.533257672e+12, 2.259709766e+12, 0, -3049.910248, 4730.04848, 0
snapshot_time: 6857.264795 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 374746950.5, -42505941.64, 0, 1.218853409, 9.67422472, 0
1, 0.0009478064836, -8.127104852e+11, -3.650614482e+10, 0, 622.021901, -12746.26209, 0
2, 0.0002837732003, 9.495428104e+11, 9.000636524e+11, 0, -6984.392891, 7260.151856, 0
3, 4.33474424e-05, 2.122136787e+12, 7.426658625e+11, 0, -2549.920463, 7254.2229, 0
4, 5.113210577e-05, 6.766443223e+11, -4.117887747e+12, 0, 5587.927995, 878.2190821, 0
snapshot_time: 7836.874052 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 584728402.4, 503439416.2, 0, -10.32243077, 4.695908606, 0
1, 0.0009478064836, -1.501273584e+11, -8.075609076e+11, 0, 12428.6278, -2245.794322, 0
2, 0.0002837732003, -1.157987003e+12, 5.88256431e+11, 0, -4456.61089, -9126.817283, 0
3, 4.33474424e-05, 2.082505127e+12, 8.450123604e+11, 0, -2901.709726, 7126.158037, 0
4, 5.113210577e-05, -3.976502131e+12, 1.155420902e+12, 0, -1579.105132, -5477.140167, 0
snapshot_time: 8816.483308 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -918387062.9, 478398022.3, 0, -7.387932335, -11.34270727, 0
1, 0.0009478064836, 7.48304753e+11, -3.317913559e+11, 0, 5107.808854, 11589.96976, 0
2, 0.0002837732003, -7.440861672e+10, -1.288898213e+12, 0, 10204.6233, -521.3640943, 0
3, 4.33474424e-05, 2.038387861e+12, 9.449077102e+11, 0, -3244.064797, 6977.319694, 0
4, 5.113210577e-05, 2.751253824e+12, 3.15859861e+12, 0, -4268.463916, 3679.056112, 0
snapshot_time: 9796.092565 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -978878980.8, -567697532.7, 0, 10.58324689, -10.2134949, 0
1, 0.0009478064836, 4.624606914e+11, 6.596109438e+11, 0, -10541.50464, 7387.33853, 0
2, 0.0002837732003, 1.268252853e+12, 3.139711732e+11, 0, -2409.917182, 9793.581649, 0
3, 4.33474424e-05, 1.992554262e+12, 1.041943019e+12, 0, -3570.708691, 6808.546467, 0
4, 5.113210577e-05, 1.818610522e+12, -3.764776821e+12, 0, 5099.429527, 2423.03263, 0
snapshot_time: 10775.70182 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 837394094.1, -918718723.9, 0, 11.68699694, 9.926648125, 0
1, 0.0009478064836, -5.355857431e+11, 5.851198939e+11, 0, -9613.758981, -8850.370507, 0
2, 0.0002837732003, -7.085833297e+11, 1.112447378e+12, 0, -8433.782641, -5359.975462, 0
3, 4.33474424e-05, 1.939756796e+12, 1.135531234e+12, 0, -3898.747388, 6632.872898, 0
4, 5.113210577e-05, -4.139445341e+12, -3.882312074e+10, 0, 54.09559948, -5701.837106, 0
snapshot_time: 11755.31108 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 704895489.9, 417709945.3, 0, -7.828533941, 12.09181767, 0
1, 0.0009478064836, -6.99554916e+11, -3.770506424e+11, 0, 6246.022829, -11457.98041, 0
2, 0.0002837732003, -7.459974018e+11, -1.083180274e+12, 0, 8260.407631, -5685.998919, 0
3, 4.33474424e-05, 1.88071757e+12, 1.228997845e+12, 0, -4220.075802, 6433.921153, 0
4, 5.113210577e-05, 1.745511953e+12, 3.80032512e+12, 0, -5143.948311, 2323.491363, 0
snapshot_time: 12734.92033 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -803014121.5, 939067286.8, 0, -12.50283262, -6.7954361, 0
1, 0.0009478064836, 2.373154066e+11, -7.711725863e+11, 0, 12284.08217, 3771.553433, 0
2, 0.0002837732003, 1.248629673e+12, -3.71323305e+11, 0, 2905.983929, 9689.434849, 0
3, 4.33474424e-05, 1.820448505e+12, 1.318754425e+12, 0, -4520.018351, 6223.370515, 0
4, 5.113210577e-05, 2.811946993e+12, -3.103581929e+12, 0, 4197.192302, 3761.883417, 0
snapshot_time: 13714.52959 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -639212352.9, -451337234.3, 0, 4.254125564, -11.91229251, 0
1, 0.0009478064836, 8.134437693e+11, 9.087549656e+10, 0, -1297.232405, 12606.28307, 0
2, 0.0002837732003, -2.317912528e+10, 1.292085893e+12, 0, -10206.33043, -117.6427798, 0
3, 4.33474424e-05, 1.756070576e+12, 1.403255645e+12, 0, -4815.350385, 5999.401452, 0
4, 5.113210577e-05, -3.953799862e+12, -1.229766339e+12, 0, 1683.034832, -5446.589051, 0
snapshot_time: 14694.13885 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 131963927.3, -891720485.7, 0, 11.23498702, 0.6898206858, 0
1, 0.0009478064836, 1.038882083e+11, 8.11978925e+11, 0, -12548.94793, 1748.481811, 0
2, 0.0002837732003, -1.176205843e+12, -5.453970189e+11, 0, 4164.330421, -9285.74089, 0
3, 4.33474424e-05, 1.683646865e+12, 1.487260477e+12, 0, -5107.207465, 5756.347658, 0
4, 5.113210577e-05, 5.972579787e+11, 4.131244712e+12, 0, -5602.263618, 770.4185232, 0
snapshot_time: 15673.7481 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 210939764.6, 39260737.31, 0, 2.328308115, 8.895291474, 0
1, 0.0009478064836, -7.587262367e+11, 2.870045517e+11, 0, -4568.621295, -11959.47066, 0
2, 0.0002837732003, 9.013452451e+11, -9.415564722e+11, 0, 7353.344137, 6935.784043, 0
3, 4.33474424e-05, 1.610625916e+12, 1.566731773e+12, 0, -5374.665809, 5506.754803, 0
4, 5.113210577e-05, 3.576450818e+12, -2.189598302e+12, 0, 2957.911861, 4789.05896, 0
snapshot_time: 16653.35736 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 330224168.5, 372312230.1, 0, -7.781806023, 5.139145377, 0
1, 0.0009478064836, -4.416832296e+11, -6.706543842e+11, 0, 10865.24223, -7003.136561, 0
2, 0.0002837732003, 6.976126924e+11, 1.096474037e+12, 0, -8614.406597, 5357.12961, 0
3, 4.33474424e-05, 1.535047587e+12, 1.641855995e+12, 0, -5631.42751, 5239.887796, 0
4, 5.113210577e-05, -3.435419167e+12, -2.317294608e+12, 0, 3167.981521, -4733.970425, 0
snapshot_time: 17632.96662 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -187247944.6, 210728416.7, 0, -7.873447003, -5.724702654, 0
1, 0.0009478064836, 5.416274508e+11, -5.928173173e+11, 0, 9398.467094, 8877.713227, 0
2, 0.0002837732003, -1.26375388e+12, 2.337784109e+11, 0, -1773.842551, -10108.45089, 0
3, 4.33474424e-05, 1.451854395e+12, 1.713904545e+12, 0, -5886.038547, 4959.675537, 0
4, 5.113210577e-05, -5.998786547e+11, 4.122531025e+12, 0, -5601.334096, -855.1298269, 0
snapshot_time: 18612.57587 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -1007323783, -46134557.63, 0, 3.54328362, -11.60574168, 0
1, 0.0009478064836, 6.985194366e+11, 4.029191915e+11, 0, -6532.863486, 11080.4287, 0
2, 0.0002837732003, 2.730773193e+11, -1.257687299e+12, 0, 10017.00287, 2143.382508, 0
3, 4.33474424e-05, 1.368041925e+12, 1.781409609e+12, 0, -6115.109606, 4674.324603, 0
4, 5.113210577e-05, 4.05095026e+12, -1.09789419e+12, 0, 1482.879502, 5425.066753, 0
snapshot_time: 19592.18513 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 19898544.44, -805365228.2, 0, 12.78715996, 1.704186473, 0
1, 0.0009478064836, -2.86257793e+11, 7.559621691e+11, 0, -12030.43831, -4467.763474, 0
2, 0.0002837732003, 1.163963357e+12, 6.05879599e+11, 0, -4642.197832, 8910.299396, 0
3, 4.33474424e-05, 1.28135396e+12, 1.845839835e+12, 0, -6331.544234, 4373.880939, 0
4, 5.113210577e-05, -2.628489231e+12, -3.210378393e+12, 0, 4382.99157, -3626.922015, 0
snapshot_time: 20571.79439 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 1064108050, -410891803.2, 0, 0.7415038457, 14.11691243, 0
1, 0.0009478064836, -7.954492444e+11, -1.294879569e+11, 0, 1834.926406, -12733.61172, 0
2, 0.0002837732003, -9.550719001e+11, 9.076801579e+11, 0, -6813.705161, -7334.618439, 0
3, 4.33474424e-05, 1.190321314e+12, 1.90504339e+12, 0, -6540.638367, 4057.244702, 0
4, 5.113210577e-05, -1.747211517e+12, 3.773018869e+12, 0, -5135.889565, -2419.142583, 0
snapshot_time: 21551.40364 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -65174098.61, 1018118786, 0, -14.57031766, 1.770754103, 0
1, 0.0009478064836, -6.990863898e+10, -8.015152833e+11, 0, 12824.26715, -1300.826692, 0
2, 0.0002837732003, -4.610921615e+11, -1.220170228e+12, 0, 9491.088194, -3471.370003, 0
3, 4.33474424e-05, 1.097052876e+12, 1.959375922e+12, 0, -6727.979341, 3741.658245, 0
4, 5.113210577e-05, 4.197728486e+12, 8.273388382e+10, 0, -109.5744619, 5621.056475, 0
snapshot_time: 22531.0129 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -1061109718, 364534086.8, 0, -3.874867102, -14.47020236, 0
1, 0.0009478064836, 7.69199274e+11, -2.516255932e+11, 0, 3961.527105, 12186.23223, 0
2, 0.0002837732003, 1.300872913e+12, -5.862178322e+10, 0, 517.4738877, 10101.43089, 0
3, 4.33474424e-05, 1.000911949e+12, 2.010915428e+12, 0, -6901.265414, 3412.46838, 0
4, 5.113210577e-05, -1.601523678e+12, -3.834989206e+12, 0, 5227.140624, -2221.951236, 0
snapshot_time: 23510.62216 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -199913246.9, -1263454237, 0, 13.63977995, -5.342815586, 0
1, 0.0009478064836, 4.283377645e+11, 6.940722012e+11, 0, -10912.43787, 6513.498345, 0
2, 0.0002837732003, -3.697436118e+11, 1.253610882e+12, 0, -9712.406765, -2738.072481, 0
3, 4.33474424e-05, 9.033148307e+11, 2.057240415e+12, 0, -7056.75795, 3067.547283, 0
4, 5.113210577e-05, -2.749079428e+12, 3.109893575e+12, 0, -4240.00269, -3789.869443, 0
snapshot_time: 24490.23141 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 590396641.1, -471980383.5, 0, 7.093481233, 10.38324823, 0
1, 0.0009478064836, -5.71950571e+11, 5.829159108e+11, 0, -8950.500061, -9010.876296, 0
2, 0.0002837732003, -1.011695336e+12, -8.326755929e+11, 0, 6335.814691, -7827.944108, 0
3, 4.33474424e-05, 8.023931787e+11, 2.096960455e+12, 0, -7200.293085, 2728.18901, 0
4, 5.113210577e-05, 4.005214476e+12, 1.256669845e+12, 0, -1692.732734, 5362.350774, 0
snapshot_time: 25469.84067 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 320178195.7, 746820153.9, 0, -8.331316791, 7.648223724, 0
1, 0.0009478064836, -6.722584107e+11, -4.484373516e+11, 0, 7148.25313, -10667.44133, 0
2, 0.0002837732003, 1.091122301e+12, -7.103635761e+11, 0, 5548.771695, 8465.356283, 0
3, 4.33474424e-05, 6.998882033e+11, 2.133702007e+12, 0, -7324.686413, 2377.525226, 0
4, 5.113210577e-05, -4.41060872e+11, -4.140380544e+12, 0, 5632.899831, -639.7654329, 0
snapshot_time: 26449.44992 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -254055219, 138850421.9, 0, -8.122520881, -5.489823176, 0
1, 0.0009478064836, 3.164531021e+11, -7.324444178e+11, 0, 11986.38849, 5063.956608, 0
2, 0.0002837732003, 3.805069978e+11, 1.232764655e+12, 0, -9777.24793, 2972.355905, 0
3, 4.33474424e-05, 5.96221553e+11, 2.166120025e+12, 0, -7425.519896, 2016.190306, 0
4, 5.113210577e-05, -3.521082118e+12, 2.18703952e+12, 0, -2984.98475, -4849.774848, 0
snapshot_time: 27429.05918 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -581348405.7, -296721734.1, 0, 2.109030099, -9.646585262, 0
1, 0.0009478064836, 7.840599687e+11, 1.308203531e+11, 0, -2051.192764, 12891.27231, 0
2, 0.0002837732003, -1.276430069e+12, -1.469292242e+11, 0, 1143.666602, -10202.50351, 0
3, 4.33474424e-05, 4.90610028e+11, 2.190428754e+12, 0, -7521.591056, 1656.770229, 0
4, 5.113210577e-05, 3.488812638e+12, 2.328888575e+12, 0, -3140.879743, 4669.124349, 0
snapshot_time: 28408.66844 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -273398821.6, -319538045.9, 0, 9.681880808, -2.247817195, 0
1, 0.0009478064836, 5.418588524e+10, 8.020175594e+11, 0, -12885.0267, 894.4902983, 0
